Date,Title,Tone,Matins Gospel,Epistle,Gospel,Fasting,Holy Day of Obligation,Raw Text
091524,SUNDAY AFTER THE EXALTATION OF THE CROSS. Following week readings – 18th week after Pentecost,8,6,Gal. 2: 16 – 20,Mk. 8:34 – 9:1,,True,"15
SUNDAY AFTER THE
EXALTATION OF THE CROSS
Tone 8, Res. Gospel 6, Epistle Gal. 2:
16 – 20; Gospel Mk. 8:34 – 9:1.
Following week readings – 18th week
after Pentecost."
091624,Great Martyr Euphemia,,,,,,False,"16
Great Martyr Euphemia"
091724,"Sophia (Wisdom) and her daughters, Pistis, Elpidia and Agapia (Faith, Hope and Charity), martyrs",,,,,,False,"17
Sophia (Wisdom) and her
daughters, Pistis, Elpidia
and Agapia (Faith, Hope
and Charity), martyrs"
092224,,,,,,,True,22
092324,,,,,,,False,23
092924,2nd SUNDAY AFTER HOLY CROSS (19th Sunday after Pentecost). Following week readings – 20th week after Pentecost,2,8,2 Cor. 11:31-33. 12:1-10,Lk. 6:31– 36,,True,"29
2nd SUNDAY AFTER HOLY
CROSS
(19th Sunday after Pentecost)
Tone 2, Res. Gospel 8, Epistle 2 Cor.
11:31-33. 12:1-10; Gospel Lk. 6:31– 36.
Following week readings – 20th week
after Pentecost."
093024,"Gregory the Illuminator of Armenia, Bishop and Martyr CANADA: National Day for Truth and Reconcilation",,,,,,False,"30
Gregory the Illuminator of
Armenia, Bishop and Martyr
CANADA: National Day for
Truth and Reconcilation"
100624,,,,,,,True,6
100724,,,,,,,False,7
101324,4th SUNDAY AFTER HOLY CROSS. (Sunday of the Holy Fathers of the 7th Ecumenical Council). Following week readings – 22nd week after Pentecost,4,10,Titus 3: 8 – 15,Lk. 8:5 – 15,,True,"13
4th SUNDAY AFTER HOLY CROSS.
(Sunday of the Holy Fathers of the
7th Ecumenical Council) Tone 4, Res.
Gospel 10, Epistle Titus 3: 8 – 15; Gospel Lk.
8:5 – 15. Following week readings – 22nd
week after Pentecost."
101424,"Nazarius, Gervasius, Protasius & Celsus, Mrt; Ven. Cosmas of Maiuma USA: Columbus Day CANADA: Thanksgiving",,,,,,False,"14
Nazarius, Gervasius,
Protasius & Celsus, Mrt; Ven.
Cosmas of Maiuma
USA: Columbus Day
CANADA: Thanksgiving"
101524,"Lucian, Priest of the Great Church of Antioch, martyr [Ven. Theresa of Avila]",,,,,,False,"15
Lucian, Priest of the Great
Church of Antioch, martyr
[Ven. Theresa of Avila]"
102024,,,,,,,True,20
102124,,,,,,,False,21
102724,7th SUNDAY AFTER HOLY CROSS (23rd Sunday after Pentecost). Following week readings – 24th week after Pentecost,6,1,Eph. 2:4-10,Lk. 8: 41– 56,,True,"27
7th SUNDAY AFTER HOLY CROSS
(23rd Sunday after Pentecost) Tone
6, Res. Gospel 1, Epistle Eph. 2:4-10; Gospel
Lk. 8: 41– 56. Following week readings – 24th
week after Pentecost."
102824,"Terence and Neonila, Martyrs; Ven. Stephen the Sabbaite",,,,,,False,"28
Terence and Neonila,
Martyrs; Ven. Stephen the
Sabbaite"
102924,"Anastasia the Roman, woman martyr Ven. Father Abraham and his niece, Mary",,,,,,False,"29
Anastasia the Roman,
woman martyr
Ven. Father Abraham and
his niece, Mary"
110324,,,,,,,True,3
110424,,,,,,,False,4
111024,8th SUNDAY AFTER HOLY CROSS (25th Sunday after Pentecost). Following week readings – 26th week after Pentecost,8,3,Eph. 4: 1- 7,Lk. 10: 25– 37,,True,"10
8th SUNDAY AFTER HOLY CROSS
(25th Sunday after Pentecost)
Tone 8, Res. Gospel 3, Epistle Eph. 4: 1-
7; Gospel Lk. 10: 25– 37. Following
week readings – 26th week after
Pentecost."
111124,"Menas, Victor, Vincent and Stephanida, Martyrs Ven. Theodore the Studite USA: Veterans Day CANADA: Remembrance Day",,,,,,False,"11
Menas, Victor, Vincent
and Stephanida, Martyrs
Ven. Theodore the Studite
USA: Veterans Day
CANADA: Remembrance Day"
111224,"Hieromartyr Josaphat of Polotsk H. Father John the Merciful, Patriarch of Alexandria",,,,,,False,"12
Hieromartyr Josaphat of
Polotsk
H. Father John the Merciful,
Patriarch of Alexandria"
111724,,,,,,Common Abstinence,True,"17
Common Abstinence"
111824,,,,,,Common Abstinence,False,"18
Common Abstinence"
112424,13th SUNDAY AFTER HOLY CROSS (27th Sunday after Pentecost). Following week readings – 28th week after Pentecost,2,5,Eph. 6:10- 17,Lk. 18: 18– 28,Common Abstinence,True,"24
Common Abstinence
13th SUNDAY AFTER HOLY CROSS
(27th Sunday after Pentecost)
Tone 2, Res. Gospel 5, Epistle Eph. 6:10-
17; Gospel Lk. 18: 18– 28. Following
week readings – 28th week after
Pentecost."
112524,"Leavetaking of the Entrance Great-Martyr Catherine of Sinai Mercury, Martyr",,,,,Common Abstinence,False,"25
Common Abstinence
Leavetaking of the
Entrance
Great-Martyr Catherine of
Sinai
Mercury, Martyr"
112624,Ven. Alypius the Stylite Nikon the Wonderworker,,,,,Common Abstinence,False,"26
Common Abstinence
Ven. Alypius the Stylite
Nikon the Wonderworker"
